"env","loc","year","gen","height","lodging","size","protein","oil"
"B71","Brookstead",1971,"G32",1.17,3,10,43.35,17.285
"L70","Lawes",1970,"G53",0.94,3.25,22,37.65,24.4
"B71","Brookstead",1971,"G33",1.02,2.5,10.15,39.9,18.025
"L71","Lawes",1971,"G20",0.97,3.75,7.4,45.15,16.415
"N70","Nambour",1970,"G08",0.595,1.5,12.55,35.75,21.445
"L71","Lawes",1971,"G11",0.875,3,7.4,43.45,17.585
"B70","Brookstead",1970,"G49",1.07,2.5,20,37.25,21.825
"N70","Nambour",1970,"G12",0.785,3.25,8.15,38.7,20.945
"N71","Nambour",1971,"G24",0.62,1.25,8.9,42.55,18.745
"L71","Lawes",1971,"G52",0.435,1.25,14.05,38.3,22.745
"N71","Nambour",1971,"G41",0.785,1,9,39.9,21.45
"N70","Nambour",1970,"G22",0.685,1.5,9.3,37.5,20.34
"R71","RedlandBay",1971,"G07",0.86,1.5,10.05,39.9,20.515
"R70","RedlandBay",1970,"G49",1.02,3.5,14.2,36.3,23.41
"R71","RedlandBay",1971,"G58",0.65,1.25,13,37.35,22.27
"R70","RedlandBay",1970,"G04",1.005,2.5,8.85,39.95,21.075
"L71","Lawes",1971,"G16",0.98,2.75,8.45,37.4,18.75
"N70","Nambour",1970,"G03",0.685,1.5,11.9,35.5,23.68
"R70","RedlandBay",1970,"G15",1,3,7.1,40.45,17.375
"L70","Lawes",1970,"G28",1.625,4.25,8.55,38.4,21.03
"B71","Brookstead",1971,"G01",0.965,3.25,8.9,40.3,18.235
"N70","Nambour",1970,"G07",0.645,1.5,12.75,34.15,24.1
"R70","RedlandBay",1970,"G01",0.9,3.25,6.25,40.75,15.92
"L71","Lawes",1971,"G34",0.825,1.75,7,41.2,17.925
"L71","Lawes",1971,"G29",0.94,2.5,9.3,42.2,18.225
"L71","Lawes",1971,"G13",1.08,3.5,8.25,42.2,17.265
"N71","Nambour",1971,"G17",0.8,2,6.25,43.7,15.865
"B70","Brookstead",1970,"G43",0.915,3.25,6.35,41.75,16.905
"B71","Brookstead",1971,"G08",0.915,3,12.3,37.7,18.985
"B70","Brookstead",1970,"G25",1.19,2.25,7.75,38.2,20.165
"R71","RedlandBay",1971,"G10",0.8,1.75,10.55,39.45,19.675
"L70","Lawes",1970,"G17",1.28,4.25,8.4,43.7,17.455
"B71","Brookstead",1971,"G24",0.98,3,11.5,42,19.195
"L70","Lawes",1970,"G43",1.105,3.75,7.2,42.2,17.995
"L70","Lawes",1970,"G27",1.18,3.5,9.6,39,20.71
"L71","Lawes",1971,"G17",0.995,3,7.45,45.5,16
"N70","Nambour",1970,"G40",0.825,1,8.95,37.75,22.4
"B71","Brookstead",1971,"G02",0.835,2.75,10.9,41.75,18.75
"N71","Nambour",1971,"G34",0.835,1.75,7.3,42.05,18.775
"R71","RedlandBay",1971,"G37",0.98,3,6.5,48.1,15.815
"R70","RedlandBay",1970,"G46",0.495,2.25,18.3,37.95,23.425
"B70","Brookstead",1970,"G57",0.71,1.25,21.5,41.4,22.14
"R70","RedlandBay",1970,"G21",0.86,3,6.65,43.6,13.03
"B71","Brookstead",1971,"G06",0.94,3.25,12.85,37.6,19.55
"R71","RedlandBay",1971,"G01",0.97,2.25,6.75,42.1,16.855
"B71","Brookstead",1971,"G25",0.95,2.5,10.4,39.45,19.365
"R71","RedlandBay",1971,"G11",0.99,3.25,4.9,46.9,16.45
"R71","RedlandBay",1971,"G16",0.94,2.25,6.3,43.15,17.42
"R71","RedlandBay",1971,"G32",1.4,2.5,7.85,46.05,16.485
"B71","Brookstead",1971,"G40",1.07,4.5,11.25,42.25,19.12
"L70","Lawes",1970,"G25",1.46,3.5,10.05,37.45,22.055
"B71","Brookstead",1971,"G35",1.105,2,8.9,43.5,17.91
"B71","Brookstead",1971,"G34",1.07,3,8.4,41.75,18.45
"B70","Brookstead",1970,"G55",0.71,1,15.05,37.4,24.925
"B71","Brookstead",1971,"G48",0.79,2.25,17.9,38.1,23.82
"L71","Lawes",1971,"G48",0.545,1.25,16.95,39.1,24.085
"L71","Lawes",1971,"G32",1.045,1.5,8.35,41.55,17.18
"B70","Brookstead",1970,"G16",0.54,3,9.15,40.6,19.07
"N70","Nambour",1970,"G34",0.94,1.75,7.65,36.5,22.35
"N70","Nambour",1970,"G44",0.435,1,14.5,35.55,24.52
"N70","Nambour",1970,"G36",0.835,2,13.25,35.55,21.555
"L70","Lawes",1970,"G52",0.66,2,15.3,41,20.21
"R71","RedlandBay",1971,"G18",0.915,2.75,6.95,45.25,17.195
"R71","RedlandBay",1971,"G57",0.445,1,15.75,42.15,21.435
"B70","Brookstead",1970,"G46",0.8,1,15.15,37.05,23.08
"N70","Nambour",1970,"G55",NA,1,16.85,38,24.57
"N71","Nambour",1971,"G32",0.835,1.75,9.65,41.95,19.08
"R71","RedlandBay",1971,"G43",0.925,2.5,7.05,43.95,18.42
"N70","Nambour",1970,"G57",0.355,1,18.6,38.95,24.755
"N70","Nambour",1970,"G05",0.71,1.25,12.7,33.2,24.82
"R70","RedlandBay",1970,"G13",0.995,3.75,6.35,42.6,15.21
"R71","RedlandBay",1971,"G05",0.835,1.5,10.6,37.75,21.42
"N70","Nambour",1970,"G21",0.825,2.75,8.8,37.1,20.88
"R70","RedlandBay",1970,"G18",1.08,3.5,4.65,46,13.615
"L70","Lawes",1970,"G06",1.36,4,11.75,38.25,21.16
"B70","Brookstead",1970,"G12",1.095,3,5.4,43.6,16.785
"B71","Brookstead",1971,"G56",0.69,1.25,21.45,41.05,22.1
"R71","RedlandBay",1971,"G09",0.885,1.5,10.15,40.35,19.54
"L70","Lawes",1970,"G13",1.585,4.5,9.3,41.15,19.18
"N70","Nambour",1970,"G58",0.395,1,17.35,39.2,20.845
"N70","Nambour",1970,"G02",0.71,2,9.35,37.6,22.445
"R71","RedlandBay",1971,"G23",0.99,2.75,5.2,46.95,14.64
"N71","Nambour",1971,"G05",0.66,1.25,12.1,37.2,22.325
"L71","Lawes",1971,"G18",1.245,3.25,8.6,43.65,16.135
"B70","Brookstead",1970,"G13",1.255,3,6.7,41.75,17.15
"B70","Brookstead",1970,"G40",1.245,3.75,9.85,41.85,19.125
"R70","RedlandBay",1970,"G05",0.85,2.25,9.65,37.4,21.425
"R70","RedlandBay",1970,"G19",1.215,4,8.65,43.2,18.325
"L71","Lawes",1971,"G07",0.8,1.5,11.25,37.45,20.97
"N70","Nambour",1970,"G48",0.42,1,15.35,35.95,25.8
"R70","RedlandBay",1970,"G53",0.585,2.25,17.65,38.35,24.575
"N70","Nambour",1970,"G33",0.775,1.5,10.6,34.7,22.8
"R70","RedlandBay",1970,"G54",0.685,2,18.75,37.2,25.815
"N71","Nambour",1971,"G24",0.62,1.25,8.9,42.55,18.745
"R70","RedlandBay",1970,"G06",0.93,3,9.3,38,19.91
"B71","Brookstead",1971,"G16",1.12,2.75,9.55,41.95,18.7
"R70","RedlandBay",1970,"G33",1.015,3.5,8.85,40.15,19.075
"L71","Lawes",1971,"G50",0.535,1.5,16.95,40.05,23.515
"N71","Nambour",1971,"G23",0.75,1.25,6.2,42.05,16.83
"B70","Brookstead",1970,"G37",1.04,3.25,7.6,44.45,17.42
"B71","Brookstead",1971,"G28",1.055,3.5,8.7,41.6,19.18
"B70","Brookstead",1970,"G23",1.14,2.5,7,42.8,17.3
"L71","Lawes",1971,"G25",0.925,2,9,38.9,19.955
"R70","RedlandBay",1970,"G10",0.85,2.75,10.3,39.35,20.015
"B70","Brookstead",1970,"G11",1.015,3.25,6.85,41.15,17.915
"L70","Lawes",1970,"G48",0.76,3.75,18.85,38.15,24.43
"N70","Nambour",1970,"G32",0.955,2.5,10.75,39.2,21.3
"B70","Brookstead",1970,"G45",0.775,1.75,22.1,35.85,22.175
"R70","RedlandBay",1970,"G50",0.595,2.25,14.55,40.2,24.76
"L70","Lawes",1970,"G51",0.79,2.75,15.95,41.65,19.66
"N71","Nambour",1971,"G40",0.675,1.5,9.25,43.65,19.175
"N70","Nambour",1970,"G10",0.595,1,9.5,33.7,22.045
"L70","Lawes",1970,"G21",1.575,4.25,8.95,37.8,18.645
"R71","RedlandBay",1971,"G02",0.74,1.75,7.95,42.7,18.86
"L70","Lawes",1970,"G42",1.36,3.75,14,41.4,21.37
"N71","Nambour",1971,"G27",0.57,1,10.7,43.8,19.31
"R71","RedlandBay",1971,"G49",0.905,1.75,17.2,36.6,22.61
"B70","Brookstead",1970,"G01",1.015,3.25,8.85,39.5,18.85
"R70","RedlandBay",1970,"G11",1.005,3.5,4,42.9,14.23
"B70","Brookstead",1970,"G04",1.235,1.5,10.6,38.7,20.385
"N70","Nambour",1970,"G52",0.33,1,14.05,36.45,24.64
"R70","RedlandBay",1970,"G16",0.965,3.5,7.05,42.85,15.41
"L71","Lawes",1971,"G47",0.61,1.25,17.6,38.85,23.435
"N71","Nambour",1971,"G30",NA,2.25,7.65,46.65,16.935
"N70","Nambour",1970,"G28",0.7,1.5,8.75,33.2,23.395
"B71","Brookstead",1971,"G12",1.12,4,8.35,44,16.075
"B70","Brookstead",1970,"G19",1.205,2.75,6.65,43,17.4
"L71","Lawes",1971,"G02",0.785,2.25,9.75,40.6,19.79
"N71","Nambour",1971,"G55",0.25,1,19.55,43.3,22.17
"L70","Lawes",1970,"G15",1.37,4.25,9.3,36.65,20.685
"R71","RedlandBay",1971,"G40",1.02,2,8.05,44.5,17.645
"N70","Nambour",1970,"G43",0.725,1.5,7.8,36.2,21.235
"B71","Brookstead",1971,"G19",1.145,3.5,7.9,45.45,16.665
"L71","Lawes",1971,"G26",0.865,1.75,10.85,40.8,18.85
"L71","Lawes",1971,"G44",0.725,2,14,36.9,22.195
"R71","RedlandBay",1971,"G21",1.07,3,6.8,46.8,16.48
"N71","Nambour",1971,"G29",0.785,2,9.3,41.55,19.515
"B70","Brookstead",1970,"G44",0.86,1.75,14.05,39.35,19.715
"R71","RedlandBay",1971,"G48",0.665,1.5,14.15,40.25,22.21
"R70","RedlandBay",1970,"G25",1.09,3.75,7.05,40.1,18.585
"N70","Nambour",1970,"G02",0.71,2,9.35,37.6,22.445
"R71","RedlandBay",1971,"G15",0.99,2.25,6.75,44.2,17.03
"B70","Brookstead",1970,"G29",1.195,2.5,7.8,40.35,17.965
"N70","Nambour",1970,"G16",0.71,2.25,9.25,36.4,23.01
"N70","Nambour",1970,"G01",0.75,2.25,9.25,34.25,22.33
"R71","RedlandBay",1971,"G33",0.885,2.25,8,42.8,17.975
"B71","Brookstead",1971,"G26",0.98,2.25,11.85,43.8,19.195
"L71","Lawes",1971,"G23",0.955,2.5,6.55,42.6,16.875
"R70","RedlandBay",1970,"G45",0.56,2,16.55,36.75,24.105
"N71","Nambour",1971,"G39",0.88,1.75,7.35,40.55,19.445
"L71","Lawes",1971,"G04",0.76,1.25,11.1,36.9,20.255
"R71","RedlandBay",1971,"G53",0.61,1,13.85,39.05,22.525
"B70","Brookstead",1970,"G54",0.675,1.25,19.45,37,22.105
"L71","Lawes",1971,"G13",1.08,3.5,8.25,42.2,17.265
"B70","Brookstead",1970,"G50",0.94,1.25,15.65,34.2,25.045
"L70","Lawes",1970,"G56",0.74,2,19.4,39.8,22.585
"N71","Nambour",1971,"G16",0.75,1.5,7.7,40.5,19.365
"L70","Lawes",1970,"G54",0.71,1,21.5,40.2,22.905
"N70","Nambour",1970,"G42",1,2.25,18.15,37.75,21.91
"B70","Brookstead",1970,"G17",1.09,3,6.9,44.6,16.22
"L70","Lawes",1970,"G32",1.73,3.5,9.65,42.15,18.695
"L70","Lawes",1970,"G08",0.955,3.25,10,35.2,21.145
"R70","RedlandBay",1970,"G12",1.05,3.25,4.1,41.75,13.88
"N70","Nambour",1970,"G35",0.8,1.75,9.5,36.25,21.03
"R71","RedlandBay",1971,"G54",0.575,1,16.8,38.6,24.25
"B70","Brookstead",1970,"G32",1.155,2.5,8.55,43.6,18.415
"L71","Lawes",1971,"G39",0.94,1.75,8.25,42.15,18.335
"N70","Nambour",1970,"G27",0.76,1.25,9.65,36.75,22.74
"L71","Lawes",1971,"G56",0.47,1.25,17.85,38.5,22.88
"B70","Brookstead",1970,"G24",0.99,2.5,9.85,38.95,20.495
"R71","RedlandBay",1971,"G08",0.835,2,9,40.7,19.19
"R70","RedlandBay",1970,"G23",1.005,2.75,5.25,41.55,14.075
"N70","Nambour",1970,"G23",0.825,1.75,7.55,36.35,20.755
"N70","Nambour",1970,"G41",0.825,1.5,12.75,37.65,22.015
"N70","Nambour",1970,"G30",0.875,1.5,9.05,35.95,22.135
"B71","Brookstead",1971,"G49",1.005,2.25,21.6,37.5,22.18
"R70","RedlandBay",1970,"G44",0.61,2,16,37.2,23.815
"R70","RedlandBay",1970,"G32",0.955,2.75,6.8,43.8,16.07
"B70","Brookstead",1970,"G42",1.32,3,15.4,41.95,19.15
"R71","RedlandBay",1971,"G56",0.52,1,12.2,40.6,20.39
"R71","RedlandBay",1971,"G39",1.4,2.5,7.4,45.4,17.235
"R71","RedlandBay",1971,"G28",0.885,2.25,7.3,42.8,17.545
"B71","Brookstead",1971,"G29",1.055,3.25,9,42.95,17.05
"R71","RedlandBay",1971,"G45",0.61,1,13.3,39.3,21.665
"N71","Nambour",1971,"G58",0.365,1,20.1,40.75,22.8
"L71","Lawes",1971,"G58",0.44,1,19,37.35,22.72
"R70","RedlandBay",1970,"G22",0.98,3,5.45,45.05,13.395
"B70","Brookstead",1970,"G57",0.71,1.25,21.5,41.4,22.14
"L71","Lawes",1971,"G37",1.095,2.5,7.45,43.55,17.7
"L71","Lawes",1971,"G49",0.66,1.25,18.55,37.5,23.07
"B71","Brookstead",1971,"G03",NA,3.25,12.4,39.75,19.57
"N70","Nambour",1970,"G24",0.725,2.25,10.9,38.9,22.455
"N71","Nambour",1971,"G11",0.7,1.5,5.9,40.75,18.24
"L71","Lawes",1971,"G51",0.42,1.25,17.75,38.7,21.65
"R70","RedlandBay",1970,"G38",0.825,3,7.05,40.95,17.305
"B71","Brookstead",1971,"G27",1.065,2.25,11.3,42.7,18.78
"B70","Brookstead",1970,"G05",1.12,2,11.95,37.8,20.78
"B71","Brookstead",1971,"G54",0.67,1,20.75,38.8,23.405
"R70","RedlandBay",1970,"G34",0.99,3.5,6.05,42.7,16.265
"R71","RedlandBay",1971,"G30",0.965,2.5,5.9,48,15.97
"B70","Brookstead",1970,"G31",1.055,2.5,8.05,40.65,19.27
"B71","Brookstead",1971,"G38",0.94,2.5,9.6,42.7,18.67
"B71","Brookstead",1971,"G55",0.57,1.25,20.05,41.6,21.945
"N70","Nambour",1970,"G39",0.91,1.5,9.5,37.45,22.95
"N71","Nambour",1971,"G47",0.365,1,18.4,40.85,21.47
"L70","Lawes",1970,"G55",0.86,2,20.15,40.8,22.315
"L71","Lawes",1971,"G45",0.56,1.25,19.65,36.3,23.73
"N70","Nambour",1970,"G15",0.76,1.75,9.4,37.65,22.13
"N71","Nambour",1971,"G26",0.535,1,9.8,42.15,18.965
"L70","Lawes",1970,"G02",1.45,4.25,9.95,37.55,20.74
"R70","RedlandBay",1970,"G36",0.915,3.75,6.15,42.9,14.32
"B70","Brookstead",1970,"G22",0.89,2.5,7.9,45.8,16.96
"L71","Lawes",1971,"G15",0.675,1.75,9.05,40.7,17.85
"L70","Lawes",1970,"G29",1.13,4,9.65,39.35,19.935
"L70","Lawes",1970,"G24",1.46,3.75,10.85,40.7,21.2
"N70","Nambour",1970,"G29",0.785,2.5,10.1,37.9,21.37
"L71","Lawes",1971,"G57",0.685,1.5,19.45,38.6,22.815
"R71","RedlandBay",1971,"G39",1.4,2.5,7.4,45.4,17.235
"L71","Lawes",1971,"G40",0.905,1.75,9.25,42.25,18.73
"B70","Brookstead",1970,"G03",1.155,2.25,10.8,37.8,20.355
"L71","Lawes",1971,"G31",0.94,1.75,8,40.15,18.325
"N71","Nambour",1971,"G38",0.57,1,8.25,41.35,19.53
"N71","Nambour",1971,"G19",0.69,1.5,7.9,42.25,18.885
"B70","Brookstead",1970,"G53",0.9,1.5,18.3,38.4,23.535
"B70","Brookstead",1970,"G08",1.12,2.25,6.15,38.5,17.88
"R71","RedlandBay",1971,"G12",0.91,2.5,5.05,45.3,15.47
"B71","Brookstead",1971,"G51",NA,2,19.25,41.6,20.885
"L71","Lawes",1971,"G06",0.65,1.75,12.15,38.1,20.745
"N71","Nambour",1971,"G43",0.785,1.5,7.1,41.4,17.905
"B70","Brookstead",1970,"G02",1.13,2.75,8.9,38.6,19.835
"N71","Nambour",1971,"G15",0.725,1.5,7.95,40.85,18.865
"L71","Lawes",1971,"G22",1.07,4,7.7,44.35,15.97
"R70","RedlandBay",1970,"G41",1.04,4.25,8.8,40.9,20.81
"B71","Brookstead",1971,"G36",1.045,2.5,7.65,44.8,16.11
"L71","Lawes",1971,"G35",0.97,1.75,7.75,41.15,18.155
